"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value"
"117" "KhPolQ_K11n_6" 11 0 0 0
"118" "KhPolQ_K11n_6!" 11 0 0 0
"119" "KhPolQ_K11n_7" 11 0 -2 2
"120" "KhPolQ_K11n_7!" 11 0 2 -2
"121" "KhPolQ_K11n_8" 11 0 4 -4
"122" "KhPolQ_K11n_8!" 11 0 -4 4
"123" "KhPolQ_K11n_9" 11 0 -4 6
"124" "KhPolQ_K11n_9!" 11 0 4 -6
"125" "KhPolQ_K11n_10" 11 0 4 -4
"126" "KhPolQ_K11n_10!" 11 0 -4 4
"127" "KhPolQ_K11n_11" 11 0 -2 2
"128" "KhPolQ_K11n_11!" 11 0 2 -2
"129" "KhPolQ_K11n_12" 11 0 0 2
"130" "KhPolQ_K11n_12!" 11 0 0 -2
"131" "KhPolQ_K11n_13" 11 0 -6 6
"132" "KhPolQ_K11n_13!" 11 0 6 -6
"133" "KhPolQ_K11n_14" 11 0 4 -4
"134" "KhPolQ_K11n_14!" 11 0 -4 4
"135" "KhPolQ_K11n_15" 11 0 -2 2
"136" "KhPolQ_K11n_15!" 11 0 2 -2
"137" "KhPolQ_K11n_16" 11 0 -4 4
"138" "KhPolQ_K11n_16!" 11 0 4 -4
"139" "KhPolQ_K11n_17" 11 0 2 -2
"140" "KhPolQ_K11n_17!" 11 0 -2 2
"141" "KhPolQ_K11n_18" 11 0 0 0
"142" "KhPolQ_K11n_18!" 11 0 0 0
"143" "KhPolQ_K11n_19" 11 0 4 -2
"144" "KhPolQ_K11n_19!" 11 0 -4 2
"145" "KhPolQ_K11n_20" 11 0 2 0
"146" "KhPolQ_K11n_20!" 11 0 -2 0
"147" "KhPolQ_K11n_21" 11 0 0 0
"148" "KhPolQ_K11n_21!" 11 0 0 0
"149" "KhPolQ_K11n_22" 11 0 -2 2
"150" "KhPolQ_K11n_22!" 11 0 2 -2
"151" "KhPolQ_K11n_23" 11 0 -4 4
"152" "KhPolQ_K11n_23!" 11 0 4 -4
"153" "KhPolQ_K11n_24" 11 0 -2 0
"154" "KhPolQ_K11n_24!" 11 0 2 0
"155" "KhPolQ_K11n_25" 11 0 -2 2
"156" "KhPolQ_K11n_25!" 11 0 2 -2
"157" "KhPolQ_K11n_26" 11 0 0 0
"158" "KhPolQ_K11n_26!" 11 0 0 0
"159" "KhPolQ_K11n_27" 11 0 -6 6
"160" "KhPolQ_K11n_27!" 11 0 6 -6
"161" "KhPolQ_K11n_28" 11 0 0 0
"162" "KhPolQ_K11n_28!" 11 0 0 0
"163" "KhPolQ_K11n_29" 11 0 -2 2
"164" "KhPolQ_K11n_29!" 11 0 2 -2
"165" "KhPolQ_K11n_30" 11 0 -4 4
"166" "KhPolQ_K11n_30!" 11 0 4 -4
"167" "KhPolQ_K11n_31" 11 0 -2 4
"168" "KhPolQ_K11n_31!" 11 0 2 -4
"169" "KhPolQ_K11n_32" 11 0 0 0
"170" "KhPolQ_K11n_32!" 11 0 0 0
"171" "KhPolQ_K11n_33" 11 0 -2 2
"172" "KhPolQ_K11n_33!" 11 0 2 -2
"173" "KhPolQ_K11n_34" 11 0 0 0
"174" "KhPolQ_K11n_34!" 11 0 0 0
"175" "KhPolQ_K11n_35" 11 0 -4 4
"176" "KhPolQ_K11n_35!" 11 0 4 -4
"177" "KhPolQ_K11n_36" 11 0 -2 2
"178" "KhPolQ_K11n_36!" 11 0 2 -2
"179" "KhPolQ_K11n_37" 11 0 0 0
"180" "KhPolQ_K11n_37!" 11 0 0 0
"181" "KhPolQ_K11n_38" 11 0 -2 0
"182" "KhPolQ_K11n_38!" 11 0 2 0
"183" "KhPolQ_K11n_39" 11 0 0 0
"184" "KhPolQ_K11n_39!" 11 0 0 0
"185" "KhPolQ_K11n_40" 11 0 -2 2
"186" "KhPolQ_K11n_40!" 11 0 2 -2
"187" "KhPolQ_K11n_41" 11 0 -4 4
"188" "KhPolQ_K11n_41!" 11 0 4 -4
"189" "KhPolQ_K11n_42" 11 0 0 0
"190" "KhPolQ_K11n_42!" 11 0 0 0
"191" "KhPolQ_K11n_43" 11 0 -4 4
"192" "KhPolQ_K11n_43!" 11 0 4 -4
"193" "KhPolQ_K11n_44" 11 0 -2 2
"194" "KhPolQ_K11n_44!" 11 0 2 -2
"195" "KhPolQ_K11n_45" 11 0 0 0
"196" "KhPolQ_K11n_45!" 11 0 0 0
"197" "KhPolQ_K11n_46" 11 0 -2 2
"198" "KhPolQ_K11n_46!" 11 0 2 -2
"199" "KhPolQ_K11n_47" 11 0 -4 4
"200" "KhPolQ_K11n_47!" 11 0 4 -4
"201" "KhPolQ_K11n_48" 11 0 0 0
"202" "KhPolQ_K11n_48!" 11 0 0 0
"203" "KhPolQ_K11n_49" 11 0 0 0
"204" "KhPolQ_K11n_49!" 11 0 0 0
"205" "KhPolQ_K11n_50" 11 0 0 0
"206" "KhPolQ_K11n_50!" 11 0 0 0
"207" "KhPolQ_K11n_51" 11 0 0 0
"208" "KhPolQ_K11n_51!" 11 0 0 0
"209" "KhPolQ_K11n_52" 11 0 -2 2
"210" "KhPolQ_K11n_52!" 11 0 2 -2
"211" "KhPolQ_K11n_53" 11 0 0 0
"212" "KhPolQ_K11n_53!" 11 0 0 0
"213" "KhPolQ_K11n_54" 11 0 -2 2
"214" "KhPolQ_K11n_54!" 11 0 2 -2
"215" "KhPolQ_K11n_55" 11 0 0 0
"216" "KhPolQ_K11n_55!" 11 0 0 0
"217" "KhPolQ_K11n_56" 11 0 -2 2
"218" "KhPolQ_K11n_56!" 11 0 2 -2
"219" "KhPolQ_K11n_57" 11 0 -6 6
"220" "KhPolQ_K11n_57!" 11 0 6 -6
"221" "KhPolQ_K11n_58" 11 0 2 -2
"222" "KhPolQ_K11n_58!" 11 0 -2 2
"223" "KhPolQ_K11n_59" 11 0 -4 4
"224" "KhPolQ_K11n_59!" 11 0 4 -4
"225" "KhPolQ_K11n_60" 11 0 -2 2
"226" "KhPolQ_K11n_60!" 11 0 2 -2
"227" "KhPolQ_K11n_61" 11 0 -4 4
"228" "KhPolQ_K11n_61!" 11 0 4 -4
"229" "KhPolQ_K11n_62" 11 0 0 0
"230" "KhPolQ_K11n_62!" 11 0 0 0
"231" "KhPolQ_K11n_63" 11 0 -2 2
"232" "KhPolQ_K11n_63!" 11 0 2 -2
"233" "KhPolQ_K11n_64" 11 0 -4 4
"234" "KhPolQ_K11n_64!" 11 0 4 -4
"235" "KhPolQ_K11n_65" 11 0 0 0
"236" "KhPolQ_K11n_65!" 11 0 0 0
"237" "KhPolQ_K11n_66" 11 0 -2 2
"238" "KhPolQ_K11n_66!" 11 0 2 -2
"239" "KhPolQ_K11n_67" 11 0 0 0
"240" "KhPolQ_K11n_67!" 11 0 0 0
"241" "KhPolQ_K11n_68" 11 0 -2 2
"242" "KhPolQ_K11n_68!" 11 0 2 -2
"243" "KhPolQ_K11n_69" 11 0 -4 4
"244" "KhPolQ_K11n_69!" 11 0 4 -4
"245" "KhPolQ_K11n_70" 11 0 -4 2
"246" "KhPolQ_K11n_70!" 11 0 4 -2
"247" "KhPolQ_K11n_71" 11 0 -2 2
"248" "KhPolQ_K11n_71!" 11 0 2 -2
"249" "KhPolQ_K11n_72" 11 0 -4 4
"250" "KhPolQ_K11n_72!" 11 0 4 -4
"251" "KhPolQ_K11n_73" 11 0 0 0
"252" "KhPolQ_K11n_73!" 11 0 0 0
"253" "KhPolQ_K11n_74" 11 0 0 0
"254" "KhPolQ_K11n_74!" 11 0 0 0
"255" "KhPolQ_K11n_75" 11 0 2 -2
"256" "KhPolQ_K11n_75!" 11 0 -2 2
"257" "KhPolQ_K11n_76" 11 0 4 -4
"258" "KhPolQ_K11n_76!" 11 0 -4 4
"259" "KhPolQ_K11n_77" 11 0 -6 8
"260" "KhPolQ_K11n_77!" 11 0 6 -8
"261" "KhPolQ_K11n_78" 11 0 -4 4
"262" "KhPolQ_K11n_78!" 11 0 4 -4
"263" "KhPolQ_K11n_79" 11 0 -2 0
"264" "KhPolQ_K11n_79!" 11 0 2 0
"265" "KhPolQ_K11n_80" 11 0 2 -2
"266" "KhPolQ_K11n_80!" 11 0 -2 2
"267" "KhPolQ_K11n_81" 11 0 -6 6
"268" "KhPolQ_K11n_81!" 11 0 6 -6
"269" "KhPolQ_K11n_82" 11 0 -2 2
"270" "KhPolQ_K11n_82!" 11 0 2 -2
"271" "KhPolQ_K11n_83" 11 0 0 0
"272" "KhPolQ_K11n_83!" 11 0 0 0
