"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"91" "KhPolQ_K10n_35" 10 0 -2 2 18.8944436276912
"92" "KhPolQ_K10n_35!" 10 0 2 -2 18.8944436276912
"93" "KhPolQ_K10n_36" 10 0 -6 -8 5.3851648071345
"94" "KhPolQ_K10n_36!" 10 0 6 8 5.3851648071345
"95" "KhPolQ_K10n_37" 10 0 2 2 14.247806848775
"96" "KhPolQ_K10n_37!" 10 0 -2 -2 14.247806848775
"97" "KhPolQ_K10n_38" 10 0 0 0 16.6433169770932
"98" "KhPolQ_K10n_38!" 10 0 0 0 16.6433169770932
"99" "KhPolQ_K10n_39" 10 0 0 0 9.1104335791443
"100" "KhPolQ_K10n_39!" 10 0 0 0 9.1104335791443
"101" "KhPolQ_K10n_40" 10 0 2 -2 12.9228479833201
"102" "KhPolQ_K10n_40!" 10 0 -2 2 12.9228479833201
"103" "KhPolQ_K10n_41" 10 0 0 0 16.7032930884901
"104" "KhPolQ_K10n_41!" 10 0 0 0 16.7032930884901
"105" "KhPolQ_K10n_42" 10 0 4 4 18.1934053986603
"106" "KhPolQ_K10n_42!" 10 0 -4 -4 18.1934053986603
"107" "KhPolQ_K11n_1" 11 0 2 -2 9.4339811320566
"108" "KhPolQ_K11n_1!" 11 0 -2 2 9.4339811320566
"109" "KhPolQ_K11n_2" 11 0 -4 4 20.4694894904587
"110" "KhPolQ_K11n_2!" 11 0 4 -4 20.4694894904587
"111" "KhPolQ_K11n_3" 11 0 2 -2 15.4596248337403
"112" "KhPolQ_K11n_3!" 11 0 -2 2 15.4596248337403
"113" "KhPolQ_K11n_4" 11 0 0 0 17.6351920885484
"114" "KhPolQ_K11n_4!" 11 0 0 0 17.6351920885484
"115" "KhPolQ_K11n_5" 11 0 -2 2 25.6709953059869
"116" "KhPolQ_K11n_5!" 11 0 2 -2 25.6709953059869
"117" "KhPolQ_K11n_6" 11 0 0 0 7.41619848709566
"118" "KhPolQ_K11n_6!" 11 0 0 0 7.41619848709566
"119" "KhPolQ_K11n_7" 11 0 -2 2 24.1453929352993
"120" "KhPolQ_K11n_7!" 11 0 2 -2 24.1453929352993
"121" "KhPolQ_K11n_8" 11 0 4 -4 19.157244060668
"122" "KhPolQ_K11n_8!" 11 0 -4 4 19.157244060668
"123" "KhPolQ_K11n_9" 11 0 -4 6 5
"124" "KhPolQ_K11n_9!" 11 0 4 -6 5
"125" "KhPolQ_K11n_10" 11 0 4 -4 23.5159520326097
"126" "KhPolQ_K11n_10!" 11 0 -4 4 23.5159520326097
"127" "KhPolQ_K11n_11" 11 0 -2 2 20.0249843945008
"128" "KhPolQ_K11n_11!" 11 0 2 -2 20.0249843945008
"129" "KhPolQ_K11n_12" 11 0 0 2 4.79583152331272
"130" "KhPolQ_K11n_12!" 11 0 0 -2 4.79583152331272
"131" "KhPolQ_K11n_13" 11 0 -6 6 5
"132" "KhPolQ_K11n_13!" 11 0 6 -6 5
"133" "KhPolQ_K11n_14" 11 0 4 -4 16.0312195418814
"134" "KhPolQ_K11n_14!" 11 0 -4 4 16.0312195418814
"135" "KhPolQ_K11n_15" 11 0 -2 2 12.5299640861417
"136" "KhPolQ_K11n_15!" 11 0 2 -2 12.5299640861417
"137" "KhPolQ_K11n_16" 11 0 -4 4 13.228756555323
"138" "KhPolQ_K11n_16!" 11 0 4 -4 13.228756555323
"139" "KhPolQ_K11n_17" 11 0 2 -2 16.583123951777
"140" "KhPolQ_K11n_17!" 11 0 -2 2 16.583123951777
"141" "KhPolQ_K11n_18" 11 0 0 0 11.6189500386223
"142" "KhPolQ_K11n_18!" 11 0 0 0 11.6189500386223
"143" "KhPolQ_K11n_19" 11 0 4 -2 2.23606797749979
"144" "KhPolQ_K11n_19!" 11 0 -4 2 2.23606797749979
"145" "KhPolQ_K11n_20" 11 0 2 0 8.30662386291807
"146" "KhPolQ_K11n_20!" 11 0 -2 0 8.30662386291807
"147" "KhPolQ_K11n_21" 11 0 0 0 17.6351920885484
"148" "KhPolQ_K11n_21!" 11 0 0 0 17.6351920885484
"149" "KhPolQ_K11n_22" 11 0 -2 2 19.8746069143518
"150" "KhPolQ_K11n_22!" 11 0 2 -2 19.8746069143518
"151" "KhPolQ_K11n_23" 11 0 -4 4 10.4403065089106
"152" "KhPolQ_K11n_23!" 11 0 4 -4 10.4403065089106
"153" "KhPolQ_K11n_24" 11 0 -2 0 8.30662386291807
"154" "KhPolQ_K11n_24!" 11 0 2 0 8.30662386291807
"155" "KhPolQ_K11n_25" 11 0 -2 2 17.058722109232
"156" "KhPolQ_K11n_25!" 11 0 2 -2 17.058722109232
